TSNE1,TSNE2
-19.648043,-1.3715699
-16.04008,-1.9589672
-18.596607,-5.7664022
-19.32795,-5.0090485
-20.907953,-1.9843196
-18.561783,-4.218564
-18.5932,-5.178949
-17.787008,0.95902467
-19.422338,-5.79986
-17.558289,-4.1919737
-17.578999,-0.30988944
-20.097816,-2.1449628
-17.829754,-1.5319794
-16.847414,-2.373213
-16.912014,-3.3100579
-18.308743,-0.58522934
-17.584078,-5.249696
-20.36758,-3.1852984
-17.915844,-6.3894596
-16.07968,-2.4628613
-16.71452,0.78202844
-14.989638,-1.8694023
15.343083,-4.273142
10.8390665,-3.7996483
12.909132,-8.757679
15.435479,-4.9775667
12.034776,-10.038407
17.188122,-8.6213455
12.511894,-1.5368874
14.018322,-4.8222
13.991009,-3.2376168
14.229019,-3.6548367
10.982405,-4.316072
5.7621794,0.88959837
7.8407707,2.0727923
16.498083,2.7507498
14.269658,1.2052217
11.559864,-6.8370357
11.745129,-6.675576
17.451029,2.4050384
16.83396,-6.0193324
16.09274,-5.3683066
10.559547,0.2481028
20.597158,-0.5441442
16.774328,-3.9206076
12.216114,-6.0138927
13.398995,-2.9108193
11.328775,-3.1599267
18.051922,-3.8210635
11.663859,-0.30941692
8.15537,2.1400218
9.6281595,-4.8155146
13.08656,-9.25936
17.285221,-7.9827967
15.2580805,-5.8668003
13.466885,-6.169137
18.403967,-3.175586
